country;Practicing nurses;Practicing physicians;Practicing Care Personnel;Magnetic Resonance Imaging Units;PET scanners;WAIT Indicator for orphan non-onco diseases;Inpatient curative and rehabilitative care expenditure;Long-term care (health) expenditure;Preventive care expenditure;The Universal Health Coverage Index ;Beds in nursing and other residential long-term care facilities ;Household out-of-pocket payments ;Dependence Ratio;Does a country have an HTA process with clear and transparent decision rules?;Does a country have a healthcare investment strategy ?;Does a country have early access scheme?  ;Average tenure of the minister of health
Germany;10;10;6.07433380084151;10;2.80381760339343;9.86544850498339;10;8.08202621959511;8.46114878666558;10;8.27918154065401;8.97002093060699;1;7.65217391304348;10;10;7.88995592728001
Netherlands;9.353591160221;5.39024390243902;10;3.58445945945946;10;7.75428571428571;4.86411777285057;10;10;8.2;10;9.45313154081468;4.2533231578648;7.65217391304348;5.4954954954955;10;8.76608904692743
Slovakia;3.69872311754037;4.12559279683799;1;2.52027027027027;2.75609756097561;1.64285714285714;1.89281815214578;1;1;6.4;5.80257357820981;7.37868298180647;10;2.56521739130435;5.4954954954955;1;2.00493313968047
Czech Republic;6.93701657458563;8.02439024390244;2.55890603085554;2.85472972972973;3.19512195121951;6.29337979094077;5.75855665229772;3.67557450348342;6.26881281150421;7.6;5.34555387119534;8.41851553695057;3.40177057963347;3.73913043478261;5.4954954954955;5.4954954954955;2.16903202784595
Poland;3.68508287292818;2.02439024390244;1.18302945301543;2.7027027027027;1.65853658536585;3.68285714285714;2.64878614278157;1.96147047296054;1.20271263992156;6.4;2.1039770306049;6.04759298019643;7.51863539912013;7.65217391304348;5.4954954954955;5.4954954954955;3.21067260980618
Hungary;3.27734806629834;1;2.76086956521739;1;1.65853658536585;5.87453416149068;2.52196423144886;1.46928915942122;3.77718767873192;4.6;6.28788587955039;4.75765577201739;5.23037723900813;6.08695652173913;5.4954954954955;1;10
Romania;5.98232044198895;2.53658536585366;3.50561009817672;3.09797297297297;1;3.82100840336134;2.88338641965582;1.5537309731965;1.83021488683716;4;2.17011882889617;6.65474158750604;7.06841193828646;3.73913043478261;1;5.4954954954955;1
Bulgaria;2.20331491712707;8.3170731707317;1.07573632538569;3.00675675675676;2.09756097560976;1.64285714285714;3.49916149872255;1.3476295982275;1.67162349865185;1;1;2.87911769441314;1.04883580563044;2.17391304347826;1;5.4954954954955;1.35512971402815
Lithuania;1;9.56097560975609;2.26858345021038;3.85810810810811;1;2.28571428571429;2.90465846548639;2.06837251341775;3.46098537462211;2.2;5.65570357744137;3.49669940428273;3.40500440513171;1.39130434782609;1;5.4954954954955;3.67409350428207
Estonia;4.49060773480663;1.95121951219512;2.82398316970547;4.07094594594595;4.51219512195122;1.38571428571429;2.00545869959144;2.33919101590933;4.63191437208922;4.6;6.12762405080093;5.8499436483658;3.31230477801604;5.30434782608696;5.4954954954955;5.4954954954955;2.16753893924976
Latvia;2.20331491712707;1.4390243902439;1.79523141654979;4.31418918918919;1.8780487804878;1,000;1.74857342232327;1.49376504747202;2.96927853582809;2.2;2.46819702822972;1;1.27232903850843;1;5.4954954954955;5.4954954954955;2.74443456703561
Croatia;5.47513812154696;4;1.10729312762973;4.16216216216216;2.09756097560976;2.28571428571429;1;1.2903272250262;2.24985701446197;5.2;2.30868966866228;10;1.04743601991579;10;10;5.4954954954955;3.85016527269995
Slovenia;8.46850828729282;1.29268292682927;1.77629733520337;3.55405405405405;2.53658536585366;4.44117647058824;3.66194329705455;3.04258484574591;3.85096821635755;7.6;7.27177656534891;9.10970858154887;3.19562430287831;2.56521739130435;10;5.4954954954955;1.53965292733009
AVERAGE (NL,DE);9.6767955801105;7.69512195121951;8.03716690042076;6.79222972972973;6.40190880169671;8.80986710963455;7.43205888642528;9.04101310979755;9.23057439333279;9.1;9.13959077032701;9.21157623571084;2.6266615789324;7.65217391304348;7.74774774774775;10;8.32802248710372